dish_name,countries_of_origin,ingredients
Cepelinai,['Lithuania'],"['cream', 'potato', 'pepper', 'egg', 'onion', 'meat', 'garlic', 'bacon', 'dill', 'mushroom', 'ground_meat', 'salt', 'sour_cream']"
Msabbaha,"['Oman', 'Jordan', 'Bahrain', 'Palestine', 'Qatar', 'United Arab Emirates', 'Iraq', 'Syria', 'Israel', 'Lebanon', 'Iran', 'Egypt', 'Cyprus', 'Turkey', 'Kuwait', 'Saudi Arabia']","['lemon', 'parsley', 'pepper', 'chickpea', 'oil', 'garlic', 'pomegranate_seed', 'olive', 'lemon_juice', 'cumin', 'chili_flake', 'pine_nut', 'olive_oil', 'tahini', 'chili', 'salt', 'paprika', 'nut']"
Lazarakia,"['Greece', 'Cyprus']","['orange_zest', 'sugar', 'oil', 'water', 'salt', 'olive', 'cinnamon', 'nutmeg', 'yeast', 'olive_oil', 'clove', 'flour', 'orange', 'raisin']"
Dressed Crab,['United Kingdom'],"['mustard', 'lemon', 'parsley', 'pepper', 'crab', 'paprika', 'black_pepper', 'meat', 'crab_meat', 'lemon_juice', 'bread', 'mayonnaise', 'bread_crumb', 'salt', 'cayenne_pepper']"
Dak-galbi,['South Korea'],"['oil', 'garlic', 'sweet_potato', 'green_cabbage', 'mozzarella_cheese', 'scallion', 'sesame_oil', 'gochujang', 'carrot', 'cheese', 'soy_sauce', 'perilla_leaf', 'rice', 'sesame_seed', 'rice_cake', 'potato', 'cabbage', 'ginger', 'chicken']"
Cola Chicken,"['Hong Kong', 'Macau', 'China']","['dark_soy_sauce', 'cooking_oil', 'green_onion', 'pepper', 'onion', 'oil', 'garlic', 'chili_pepper', 'soy_sauce', 'chicken_wing', 'ginger', 'cola', 'chili', 'sesame_seed', 'chicken']"
Pastel De Chucho,['Venezuela'],"['lime', 'sugar', 'oil', 'egg', 'garlic', 'bread', 'tomato', 'salt', 'caper', 'lime_juice', 'butter', 'scallion', 'milk', 'bell_pepper', 'plantain', 'stingray', 'parsley', 'olive', 'cheese', 'raisin', 'pepper', 'onion', 'bread_crumb']"
Cơm Nắm,['Vietnam'],"['shredded_coconut', 'sesame_seed', 'roasted_peanut', 'coconut', 'rice', 'salt', 'peanut']"
Empal Gentong,['Indonesia'],"['lemon', 'lime', 'sugar', 'oil', 'garlic', 'beef', 'clove', 'salt', 'green_chili', 'lime_leaf', 'milk', 'kaffir_lime_leaf', 'cooking_oil', 'coconut_milk', 'candlenut', 'nutmeg', 'shallot', 'bay_leaf', 'lemon_gras', 'pepper', 'turmeric', 'coriander', 'galangal', 'fried_shallot', 'ginger', 'coconut', 'chili']"
Goulash,['Hungary'],"['bell_pepper', 'potato', 'pepper', 'caraway_seed', 'onion', 'broth', 'garlic', 'beef', 'tomato', 'beef_broth', 'salt', 'paprika']"
Tiết Canh,['Vietnam'],"['pork_blood', 'duck_meat', 'lime', 'mint', 'coriander', 'duck_blood', 'lime_juice', 'meat', 'garlic', 'pork', 'shallot', 'fish', 'chili', 'herb', 'fish_sauce', 'peanut']"
Cochinita Pibil,['Mexico'],"['annatto_seed', 'pepper', 'orange_juice', 'garlic', 'pork', 'oregano', 'cumin', 'clove', 'vinegar', 'orange', 'salt']"
Kebapche,"['Bulgaria', 'North Macedonia']","['pepper', 'ground_pork', 'onion', 'black_pepper', 'baking_soda', 'garlic', 'ground_beef', 'pork', 'cumin', 'beef', 'salt', 'paprika']"
Quesadilla,['Mexico'],"['cheese', 'meat', 'vegetable', 'tortilla']"
Mujdei,['Romania'],"['lemon', 'cream', 'parsley', 'yogurt', 'oil', 'water', 'garlic', 'dill', 'lemon_juice', 'vinegar', 'salt', 'sour_cream']"
Gaebul-hoe,"['North Korea', 'South Korea']","['oil', 'gaebul', 'sesame_oil', 'perilla_leaf', 'salt']"
Buddha Jumps Over The Wall,['China'],"['jinhua_ham', 'bamboo_shoot', 'sea_cucumber', 'dried_scallop', 'other_delicacy', 'cucumber', 'shark_fin', 'pork', 'mushroom', 'ham', 'chicken', 'abalone']"
Palaver Sauce,"['Ghana', 'Liberia', 'Nigeria', 'Sierra Leone']","['palm_oil', 'spinach', 'pepper', 'shrimp', 'onion', 'oil', 'tomato', 'meat', 'chili_pepper', 'seasoning', 'fish', 'leafy_green', 'chili', 'salt', 'kale']"
Bananas Foster,['United States'],"['ice', 'cream', 'vanilla', 'dark_rum', 'sugar', 'brown_sugar', 'cinnamon', 'banana', 'banana_liqueur', 'rum', 'vanilla_ice_cream', 'butter']"
Spaghetti Aglio E Olio,['Italy'],"['parsley', 'pepper', 'oil', 'parmesan_cheese', 'spaghetti', 'black_pepper', 'garlic', 'red_pepper_flake', 'olive', 'cheese', 'olive_oil', 'salt']"
Sundubu-jjigae,"['North Korea', 'South Korea']","['oil', 'egg', 'garlic', 'mushroom', 'beef', 'salt', 'seafood', 'tofu', 'pork', 'gochugaru', 'sesame_oil', 'gochujang', 'soy_sauce', 'pepper', 'kimchi', 'onion', 'soft_tofu', 'spring_onion', 'zucchini']"
Bombe Glacée,['France'],"['ice', 'cream', 'sorbet', 'whipped_cream', 'fruit_puree', 'sponge_cake', 'fruit', 'ice_cream', 'chocolate', 'candied_fruit', 'liqueur', 'chocolate_sauce', 'fresh_fruit', 'meringue', 'nut']"
Katsu-sando,['Japan'],"['milk_bread', 'pork_cutlet', 'tonkatsu_sauce', 'cabbage', 'pork', 'mayonnaise', 'bread', 'milk']"
Christmas Pudding,['United Kingdom'],"['dried_fruit', 'bread_crumb', 'citru_zest', 'spice', 'sugar', 'egg', 'butter', 'stout', 'fruit', 'cider', 'mixed_peel', 'suet', 'bread', 'treacle', 'flour', 'brandy', 'milk', 'nut']"
Gimbap,['South Korea'],"['meat', 'seaweed', 'cooked_rice', 'rice', 'fish', 'vegetable']"
Sevai,['India'],"['lemon', 'oil', 'noodle', 'salt', 'mustard_seed', 'green_chili', 'grated_coconut', 'rice_noodle', 'curry_leaf', 'coriander_leaf', 'chana_dal', 'rice', 'urad_dal', 'mustard', 'turmeric', 'coriander', 'water', 'coconut', 'lemon_juice', 'turmeric_powder', 'chili']"
Steak Tartare,['France'],"['hot_sauce', 'mustard', 'worcestershire_sauce', 'parsley', 'pepper', 'cornichon', 'oil', 'egg', 'onion', 'raw_beef', 'olive', 'egg_yolk', 'beef', 'olive_oil', 'salt', 'caper']"
Fairy Bread,"['New Zealand', 'Australia']","['margarine', 'sprinkle', 'honey', 'bread', 'butter', 'white_bread']"
Chikhirtma,['Georgia'],"['parsley', 'pepper', 'egg', 'onion', 'water', 'vinegar', 'black_pepper', 'chicken', 'garlic', 'saffron', 'bay_leaf', 'flour', 'salt', 'cilantro']"
Bsisa,"['Libya', 'Tunisia', 'Algeria']","['wheat', 'caraway_seed', 'anise_seed', 'oil', 'coriander', 'date', 'barley_flour', 'coriander_seed', 'fenugreek_seed', 'honey', 'olive', 'wheat_flour', 'fenugreek', 'almond', 'olive_oil', 'hazelnut', 'flour', 'barley']"
Shwe Yin Aye,['Myanmar'],"['ice', 'cream', 'condensed_milk', 'syrup', 'coconut_milk', 'sugar', 'sago_pearl', 'sticky_rice', 'water', 'agar_jelly', 'ice_cream', 'rose_syrup', 'coconut', 'bread', 'rice', 'pandan_leaf', 'milk']"
Platinum Pudding,['United Kingdom'],"['edible_flower', 'lemon', 'sugar', 'egg', 'amaretti_biscuit', 'orange', 'butter', 'jam', 'cream', 'gelatin', 'vanilla', 'white_chocolate', 'flour', 'vanilla_extract', 'mandarin_orange', 'fresh_berry', 'chocolate', 'whipped_cream', 'strawberry_jam']"
